employee_id,department,grade,salary,gender,years_experience,absences
171,Marketing,G1,50078,M,5,7
172,Tech,G4,50704,F,1,12
173,Finance,G3,43249,M,0,12
174,Marketing,G4,59342,F,4,0
175,Marketing,G3,33985,F,8,5
176,HR,G4,47864,F,5,18
177,Finance,G1,51804,F,9,15
178,Finance,G4,57716,F,11,7
179,Tech,G1,60674,F,6,0
180,Finance,G4,33130,M,4,15
181,Tech,G4,26988,M,9,8
182,Finance,G2,69165,F,5,12
183,HR,G1,54984,F,4,10
184,Finance,G2,38772,M,10,12
185,Tech,G1,73267,F,8,9
186,Tech,G2,51735,F,14,3
187,HR,G3,67689,M,5,5
188,Finance,G4,51012,F,10,6
189,Finance,G1,80911,F,7,4
190,HR,G1,76330,F,1,10
191,Finance,G4,46265,M,11,12
192,Finance,G1,64573,M,12,18
193,Tech,G1,59680,M,8,9
194,Finance,G2,70529,F,4,9
195,Finance,G1,35526,F,6,10
196,HR,G3,60290,M,9,6
197,HR,G3,65876,F,12,17
198,Marketing,G4,23618,F,0,3
199,Tech,G1,32251,F,9,1
200,Finance,G4,19411,F,4,13
201,Finance,G3,45958,F,11,12
202,Marketing,G1,60763,M,13,11
203,Finance,G1,72535,F,9,6
204,Tech,G4,51111,M,13,1
205,Marketing,G3,74429,F,1,12
206,Tech,G1,29298,M,11,13
207,Marketing,G4,24449,F,5,16
208,Marketing,G3,49166,M,10,8
209,HR,G4,55760,F,0,16
210,Tech,G2,49509,M,2,7
211,Finance,G1,18988,F,4,1
212,Finance,G2,48663,M,3,12
213,Tech,G3,30432,F,2,2
214,Finance,G2,60045,M,9,15
215,Finance,G2,55498,M,12,5
216,Tech,G3,35901,F,4,18
217,Marketing,G4,42291,F,10,6
218,Tech,G2,34111,M,7,9
219,Marketing,G4,49059,F,10,8
220,Finance,G2,64327,M,3,1
221,Finance,G4,35214,M,0,14
222,Finance,G3,57560,M,10,4
223,HR,G2,42046,F,6,3
224,Marketing,G3,38106,M,7,19
225,HR,G2,48394,M,2,3
226,HR,G3,34471,F,5,17
227,Tech,G3,41695,F,1,3
228,HR,G2,32031,F,6,16
229,Tech,G2,79470,F,14,11
230,Tech,G2,50528,M,7,16
231,HR,G1,39504,M,5,9
232,Marketing,G4,53209,M,5,0
233,Marketing,G1,48315,M,4,17
234,Marketing,G1,46685,F,7,17
235,Marketing,G3,59212,M,0,13
236,Marketing,G2,61362,M,9,14
237,HR,G4,42042,F,3,11
238,HR,G3,41362,M,14,3
239,Finance,G1,45874,M,3,2
240,Marketing,G2,15471,M,2,19
241,HR,G3,27272,M,2,11
242,Finance,G2,70503,M,3,6
243,Marketing,G3,74674,M,10,10
244,Tech,G2,46264,F,0,0
245,Finance,G1,58648,F,13,5
246,HR,G4,54668,M,10,14
247,Tech,G1,96183,M,12,14
248,Tech,G4,66793,F,10,18
249,Tech,G2,48081,M,1,10
250,Finance,G3,35666,M,8,1
251,HR,G1,25903,M,9,13
252,Tech,G4,53051,F,1,1
253,Marketing,G1,38654,M,4,3
254,Tech,G4,28666,F,8,16
255,Tech,G1,40301,M,8,2
256,Finance,G4,33776,F,7,12
257,Finance,G4,75307,F,0,8
258,HR,G2,63224,M,0,6
259,Marketing,G4,49880,F,8,14
260,Finance,G2,72199,M,12,10
261,Tech,G4,51160,F,10,19
262,HR,G3,37080,M,7,1
263,Tech,G3,72846,M,9,14
264,Tech,G3,58083,F,8,13
265,Finance,G4,34441,M,6,19
266,HR,G2,47144,M,2,10
267,Marketing,G2,36865,F,2,2
268,Marketing,G4,29258,M,1,16
269,Finance,G3,63892,M,4,11
270,Finance,G3,78641,F,11,14
271,HR,G2,29021,F,11,15
272,Marketing,G3,58444,M,2,4
273,Marketing,G1,40240,M,13,19
274,Marketing,G2,42693,F,5,5
275,Tech,G3,41114,F,1,18
276,Marketing,G2,37040,M,11,4
277,Tech,G1,50727,F,2,2
278,HR,G2,37535,M,4,0
279,Tech,G2,54056,M,11,5
280,HR,G2,49246,M,10,14
281,Marketing,G2,46415,M,10,1
282,Marketing,G1,36386,M,0,2
283,HR,G4,41348,F,12,16
284,Finance,G2,61330,F,0,11
285,HR,G2,57513,F,9,17
286,Finance,G3,35336,F,8,14
287,Tech,G2,51489,M,6,11
288,Tech,G3,61270,M,0,15
289,Tech,G4,24958,M,14,7
290,Marketing,G1,58150,M,11,13
291,Tech,G1,40060,F,13,16
292,Finance,G4,58558,M,7,7
293,Tech,G1,38551,M,2,14
294,HR,G4,22926,F,7,13
295,HR,G4,25586,F,14,17
296,Marketing,G4,50721,F,4,19
297,HR,G1,53895,F,0,6
298,Finance,G3,36435,M,6,2
299,Tech,G4,59578,M,4,11
300,Marketing,G2,25077,F,5,2
1,Finance,G1,50683,M,0,15
